Site,Rep #,sample,total N in org horizons (g/m2),total C in org horizons (kg/m2),total N in top 15cm  min (g/m2),total C in top 15cm min (kg/m2),total N org+15cm min (g/m2),total C org+15cm min (kg/m2)
TKN0017,1,91,770.35,21.24,366.78,9.61,1137.13,30.85
TKN0019,1,90,87.75,3.20,168.53,2.51,256.28,5.71
TKN0031,1,96,0.00,0.00,56.94,0.91,56.94,0.91
TKN0034,1,95,246.59,4.76,192.45,3.71,439.05,8.47
TKN0102,1,1,61.21,1.94,110.82,2.44,172.03,4.37
TKN0103,1,86,5.43,0.44,0.00,0.00,5.43,0.44
TKN0103,2,92,67.61,2.09,555.50,18.19,623.11,20.28
TKN0103,3,2,108.28,4.18,365.57,8.47,473.85,12.65
TKN0104,1,3,28.30,1.15,390.76,6.57,419.06,7.72
TKN0104,2,4,5.62,0.18,289.41,4.45,295.03,4.63
TKN0104,3,5,0.00,0.00,218.95,3.59,218.95,3.59
TKN0105,1,6,89.73,2.51,502.64,9.86,592.37,12.38
TKN0105,2,7,0.00,0.00,177.82,3.31,177.82,3.31
TKN0105,3,8,102.69,2.57,277.21,5.48,379.90,8.05
TKN0107,1,9,84.98,3.05,381.61,6.53,466.59,9.58
TKN0107,2,10,117.74,3.85,444.06,7.82,561.80,11.66
TKN0107,3,11,171.91,6.24,365.89,6.89,537.80,13.13
TKN0116,1,12,1137.15,19.69,412.33,7.43,1549.48,27.13
TKN0116,2,13,65.14,2.38,512.90,9.21,578.04,11.60
TKN0116,3,14,848.80,21.23,737.46,14.13,1586.26,35.36
TKN0117,1,15,179.38,5.23,156.77,2.37,336.15,7.61
TKN0117,2,16,86.93,2.23,223.36,4.17,310.29,6.40
TKN0117,3,83,30.70,0.86,0.00,0.00,30.70,0.86
TKN0118,1,17,402.75,10.91,322.56,5.59,725.31,16.50
TKN0118,2,18,555.98,15.08,218.46,3.93,774.44,19.01
TKN0119,1,19,52.25,1.61,239.79,5.49,292.04,7.10
TKN0119,2,20,0.00,0.00,267.63,6.49,267.63,6.49
TKN0119,3,21,45.55,2.24,294.72,6.74,340.27,8.98
TKN0120,1,22,0.00,0.00,173.94,5.30,173.94,5.30
TKN0120,2,23,76.06,2.53,278.96,5.90,355.03,8.43
TKN0120,3,24,204.28,7.05,457.64,8.93,661.92,15.97
TKN0121,1,25,200.99,8.27,206.39,5.13,407.38,13.40
TKN0121,2,26,155.11,5.22,204.82,4.81,359.93,10.03
TKN0121,3,88,84.18,3.15,0.00,0.00,84.18,3.15
TKN0122,1,27,201.53,4.97,195.01,3.76,396.54,8.73
TKN0122,2,28,73.52,3.22,211.82,4.24,285.34,7.46
TKN0122,3,29,184.86,5.66,327.82,7.70,512.68,13.36
TKN0123,1,30,97.15,3.98,181.82,3.59,278.97,7.58
TKN0123,2,31,50.06,1.45,310.99,8.47,361.05,9.91
TKN0123,3,32,120.28,2.88,239.93,4.54,360.21,7.43
TKN0125,1,33,16.01,0.49,310.36,6.83,326.37,7.32
TKN0125,2,34,0.00,0.00,378.58,6.59,378.58,6.59
TKN0125,3,35,169.94,4.44,278.34,6.70,448.27,11.14
TKN0133,1,36,197.98,5.87,361.99,7.60,559.96,13.47
TKN0133,2,37,333.67,9.97,248.87,4.28,582.54,14.25
TKN0133,3,38,75.71,2.69,452.47,9.38,528.19,12.06
TKN0137,1,39,81.83,3.03,280.23,5.28,362.06,8.31
TKN0137,2,40,93.60,4.04,291.14,5.48,384.74,9.52
TKN0137,3,41,95.53,3.34,221.84,4.00,317.37,7.34
TKN0138,1,94,0.00,0.00,351.76,6.59,351.76,6.59
TKN0139,1,42,215.71,5.28,361.54,7.23,577.25,12.50
TKN0139,3,43,229.28,6.83,276.49,5.38,505.77,12.21
TKN0140,1,50,183.68,5.76,193.63,2.72,377.31,8.48
TKN0140,2,51,33.38,1.01,229.14,2.62,262.52,3.63
TKN0140,3,87,23.17,0.73,0.00,0.00,23.17,0.73
TKN0141,1,52,149.81,3.91,507.23,9.26,657.04,13.17
TKN0141,2,53,193.91,5.14,195.79,4.39,389.69,9.52
TKN0141,3,85,37.93,1.37,0.00,0.00,37.93,1.37
TKN0142,1,54,142.40,3.84,326.90,4.39,469.30,8.23
TKN0142,2,55,198.69,6.17,199.24,2.63,397.94,8.80
TKN0142,3,89,0.00,0.00,37.06,1.13,37.06,1.13
TKN0143,1,44,107.35,3.30,423.06,7.16,530.41,10.46
TKN0143,2,45,209.74,5.22,509.90,7.44,719.63,12.65
TKN0143,3,46,205.96,5.06,417.65,6.69,623.61,11.75
TKN0144,1,47,448.97,11.76,501.59,15.64,950.55,27.40
TKN0144,2,48,274.65,7.05,192.81,2.83,467.45,9.88
TKN0144,3,49,71.74,2.76,412.26,10.25,484.00,13.01
TKN0145,1,84,813.14,17.78,0.00,0.00,813.14,17.78
TKN0145,2,57,203.82,6.91,344.75,5.45,548.57,12.36
TKN0146,2,58,141.04,5.12,294.86,5.90,435.90,11.02
TKN0146,2,59,194.86,5.02,403.12,6.85,597.99,11.87
TKN0146,3,56,338.61,6.40,195.65,3.31,534.26,9.71
TKN0147,1,60,362.55,9.13,360.07,6.12,722.62,15.26
TKN0147,3,61,292.85,7.76,267.72,5.34,560.57,13.11
TKN0147,3,93,374.29,9.08,394.93,6.84,769.22,15.92
TKN0149,1,62,63.56,2.96,275.49,5.12,339.04,8.08
TKN0149,2,63,137.27,4.08,225.93,5.29,363.20,9.37
TKN0149,3,64,50.81,1.80,882.61,14.83,933.43,16.63
TKN0150,1,65,52.72,2.33,252.64,5.07,305.36,7.40
TKN0150,2,66,171.74,5.34,366.52,7.01,538.26,12.35
TKN0150,3,67,136.36,3.54,336.36,6.88,472.72,10.42
TKN0152,1,82,23.14,0.84,0.00,0.00,23.14,0.84
TKN0152,2,68,27.31,0.80,141.89,2.19,169.21,3.00
TKN0152,3,69,366.14,10.80,276.37,5.81,642.51,16.61
TKN0153,1,70,122.03,3.54,192.23,3.03,314.26,6.57
TKN0153,2,71,141.18,4.51,247.16,4.37,388.33,8.88
TKN0153,3,72,165.76,5.63,239.65,4.87,405.41,10.50
TKN0154,1,73,226.85,5.35,300.79,5.04,527.64,10.40
TKN0154,2,74,40.14,1.56,368.27,6.42,408.42,7.97
TKN0154,3,75,38.69,1.34,290.09,4.89,328.78,6.23
TKN0155,1,76,213.34,7.48,302.71,5.18,516.05,12.66
TKN0155,2,77,362.43,8.04,146.83,2.27,509.26,10.31
TKN0155,3,81,38.82,1.53,0.00,0.00,38.82,1.53
TKN0157,1,78,213.62,7.97,140.71,2.24,354.33,10.21
TKN0157,2,80,60.41,2.13,0.00,0.00,60.41,2.13
TKN0157,3,79,133.66,5.48,222.93,4.46,356.59,9.93