Site,SiteType,SiteAge,ID,depth,BD,NH4_C,NO3_C,poreNO3,poreNH4,poreNPOC,poreTDN,Moist,AFDM,N2Oprod,denitrate,quantitative.depth,layer,streamTDN,streamDOC,streamNO3,streamNH4,LKcore,ThawDepth,fN2O
PokerSediment,Stream,NA,PC Sed 1,NA,NA,0.1285,0.075,NA,NA,NA,NA,24.52,1.33,1.046473303,2.719774413,NA,Surface,NA,7.506,0.69185,0,,NA,0.3847647428
PokerSediment,Stream,NA,PC Sed 3,NA,NA,0.1070019724,0.1385601578,NA,NA,NA,NA,26.54,1.58,1.321172861,3.939151296,NA,Surface,NA,7.506,0.69185,0,,NA,0.3353953076
PokerSediment,Stream,NA,PC Sed 4,NA,NA,0.05769230769,0.008382642998,NA,NA,NA,NA,24.49,1.68,1.312728481,7.336181159,NA,Surface,NA,7.506,0.69185,0,,NA,0.1789389401
MooseSediment,Stream,NA,Moose C Sed 1,NA,NA,0.08912386707,0.1442598187,NA,NA,NA,NA,17.61,1.05,0.2957233849,3.384758504,NA,Surface,0.444,18.987,0.186,0.045,,NA,0.08736912385
MooseSediment,Stream,NA,Moose C Sed 2,NA,NA,0.4230009872,0.1806515301,NA,NA,NA,NA,24.58,1.97,1.550066313,19.65396611,NA,Surface,0.444,18.987,0.186,0.045,,NA,0.07886786332
MooseSediment,Stream,NA,Moose C Sed 3,NA,NA,4.30097561,0.008292682927,NA,NA,NA,NA,45.34,6.1,1.993583868,26.53847998,NA,Surface,0.444,18.987,0.186,0.045,,NA,0.07512049934
GSI2,Upland,Intermediate,GSI2 SC 1A,Organic,0.139007782,1.381070367,0.008424182359,NA,NA,NA,NA,75.37,54.47,210.4103343,694.1360641,NA,Surface,NA,NA,NA,NA,,71.4,0.3031254897
GSI2,Upland,Intermediate,GSI2 SC 1B,Mineral,0.784666844,0.2629740519,0.1826347305,NA,NA,NA,NA,27.27,5.13,5.395683453,6.526281365,NA,Subsurface,NA,NA,NA,NA,,71.4,0.8267623094
GSI2,Upland,Intermediate,GSI2 SC 3A,Organic,0.139007782,0.1528884462,0.008466135458,NA,NA,NA,NA,59.27,31.55,76.55582672,325.9433705,NA,Surface,NA,NA,NA,NA,,71.4,0.2348746244
GSI2,Upland,Intermediate,GSI2 SC 3B,Mineral,0.784666844,0.1123762376,0.008415841584,NA,NA,NA,NA,27.04,5.41,0.9215017065,6.652146393,NA,Subsurface,NA,NA,NA,NA,,71.4,0.1385269734
GSI2,Upland,Intermediate,GSI2 SC 4A,Organic,0.139007782,1.345427435,0.008449304175,NA,NA,NA,NA,80.59,59.98,245.9987196,479.9381476,NA,Surface,NA,NA,NA,NA,,71.4,0.5125633809
GSI2,Upland,Intermediate,GSI2 SC 4B,Mineral,0.784666844,0.3328488372,0.3379360465,NA,NA,NA,NA,41.05,14.73,19.46677952,12.09317549,NA,Subsurface,NA,NA,NA,NA,,71.4,1.609732657
GSI1,Upland,Intermediate,GSI1 SC 1+2A,Organic,NA,3.801681503,0.06775469832,NA,NA,NA,NA,58.35,31.65,3.513513514,5.141908865,NA,Surface,NA,NA,NA,NA,,85,0.6833091768
GSI1,Upland,Intermediate,GSI1 SC 1B,Mineral,0.219096784,0.2708920188,0.007981220657,NA,NA,NA,NA,32.27,6.44,6.731120029,22.93134942,NA,Subsurface,NA,NA,NA,NA,,85,0.2935335337
GSI1,Upland,Intermediate,GSI1 SC 2B,Mineral,0.219096784,0.2487969201,0.05341674687,NA,NA,NA,NA,35.58,7.35,5.207932229,14.89056255,NA,Subsurface,NA,NA,NA,NA,,85,0.349747178
GSI1,Upland,Intermediate,GSI1 SC 3+4A,Organic,NA,1.192890995,0.008056872038,NA,NA,NA,NA,54.84,27.63,5.082644628,13.75852128,NA,Surface,NA,NA,NA,NA,,85,0.3694179428
GSI1,Upland,Intermediate,GSI1 SC 3B,Mineral,0.219096784,0.6700483092,0.09927536232,NA,NA,NA,NA,32.15,6.16,17.29582577,24.3078464,NA,Subsurface,NA,NA,NA,NA,,85,0.7115326256
BFY6,Upland,Young,BFY6 SC 4A,Organic,0.120247477,1.6735,0.0305,NA,NA,NA,NA,56.19,29.65,3.007411631,3.606317957,NA,Surface,NA,NA,NA,NA,,38.83333333,0.8339285849
BFY6,Upland,Young,BFY6 SC 4B,Mineral,0.806892118,0.3208530806,2.735545024,NA,NA,NA,NA,26.96,4.86,0.4871794872,0.1894002478,NA,Subsurface,NA,NA,NA,NA,,38.83333333,2.572222016
BFY6,Upland,Young,BFY6 SC 3A,Organic,0.120247477,1.8585,0.0085,NA,NA,NA,NA,60.05,29.19,1.359375,2.07988841,NA,Surface,NA,NA,NA,NA,,38.83333333,0.653580737
BFY6,Upland,Young,BFY6 SC 3B,Mineral,0.806892118,0.01455882353,0.05931372549,NA,NA,NA,NA,25.93,4.42,-0.6876886951,0.2212295896,NA,Subsurface,NA,NA,NA,NA,,38.83333333,-3.10848425
BFY6,Upland,Young,BFY6 SC 2A,Organic,0.120247477,0.01482035928,0.008483033932,NA,NA,NA,NA,66.94,37.86,-1.89107413,0.9532206885,NA,Surface,NA,NA,NA,NA,,38.83333333,-1.983878605
BFY6,Upland,Young,BFY6 SC 2B,Mineral,0.806892118,2.797487437,0.008542713568,NA,NA,NA,NA,27.89,5.34,1.296554125,1.444169644,NA,Subsurface,NA,NA,NA,NA,,38.83333333,0.8977851946
BFY4,Upland,Young,BFY4 SC 3A,Organic,NA,4.164335664,0.06043956044,NA,NA,NA,NA,71.55,53.3,22.15162138,73.35680901,NA,Surface,NA,NA,NA,NA,,16.375,0.3019708965
BFY4,Upland,Young,BFY4 SC 3B,Mineral,NA,0.4593657086,0.008424182359,NA,NA,NA,NA,50.92,16.65,7.641365257,68.05468766,NA,Subsurface,NA,NA,NA,NA,,16.375,0.1122827173
BFY4,Upland,Young,BFY4 SC 2A,Organic,NA,5.112823062,1.257455268,NA,NA,NA,NA,75.96,61.18,67.79442149,170.5216877,NA,Surface,NA,NA,NA,NA,,16.375,0.3975706692
BFY4,Upland,Young,BFY4 SC 2B,Mineral,NA,0.7235649547,0.008559919436,NA,NA,NA,NA,53.73,21.28,22.70021645,88.31817622,NA,Subsurface,NA,NA,NA,NA,,16.375,0.2570276858
BFY4,Upland,Young,BFY4 SC 1A,Organic,NA,3.95663011,0.008474576271,NA,NA,NA,NA,70.6,51.38,26.17421008,71.23226751,NA,Surface,NA,NA,NA,NA,,16.375,0.367448784
BFY4,Upland,Young,BFY4 SC 1B,Mineral,NA,0.4001004016,0.008534136546,NA,NA,NA,NA,44.55,14.79,6.659142212,13.67860347,NA,Subsurface,NA,NA,NA,NA,,16.375,0.4868290996
UP4C,Upland,Mature,UP4C SC 3A,Organic,NA,0.7597014925,2.176119403,NA,NA,NA,NA,65.1,20.76,7.419354839,11.83326238,NA,Surface,NA,NA,NA,NA,,47.4,0.6269914924
GSM3,Upland,Mature,GSM3 SC 2A,Organic,0.015280408,1.363955823,0.008534136546,NA,NA,NA,NA,92.62,86.43,8.898305085,22.66428847,NA,Surface,NA,NA,NA,NA,,96.42857143,0.3926134763
UP4C,Upland,Mature,UP4C SC 1+2+4A,Organic,NA,1.275948104,0.008483033932,NA,NA,NA,NA,87.15,67.54,5.058365759,7.998231116,NA,Surface,NA,NA,NA,NA,,47.4,0.632435558
GSM3,Upland,Mature,GSM3 SC 4A,Organic,0.015280408,0.87111334,0.00852557673,NA,NA,NA,NA,93.19,89.85,67.37132353,151.6355902,NA,Surface,NA,NA,NA,NA,,96.42857143,0.4442975651
UP4C,Upland,Mature,UP4C SC 1+2+4A (2),Organic,NA,1.512232416,0.008664627931,NA,NA,NA,NA,88.28,70.8,40.8993576,229.5458555,NA,Surface,NA,NA,NA,NA,,47.4,0.178175108
GSM3,Upland,Mature,GSM3 SC 3A,Organic,0.015280408,0.6681547619,0.008432539683,NA,NA,NA,NA,93.96,90.65,12.2406639,23.12717509,NA,Surface,NA,NA,NA,NA,,96.42857143,0.5292762238
GSI3,Upland,Intermediate,GSI3 SC 1B,Mineral,NA,0.01480558325,0.008474576271,NA,NA,NA,NA,18.76,2.76,1.465173366,5.225364946,NA,Subsurface,NA,NA,NA,NA,,124,0.2803963706
GSI3,Upland,Intermediate,GSI3 SC 1+2+3A rep1,Organic,NA,1.174674675,0.008508508509,NA,NA,NA,NA,50.68,28.29,1.101265823,1.741629972,NA,Surface,NA,NA,NA,NA,,124,0.6323190578
GSI3,Upland,Intermediate,GSI3 SC 2B,Mineral,NA,0.01463054187,0.008374384236,NA,NA,NA,NA,20.89,2.81,1.142451938,1.647838923,NA,Subsurface,NA,NA,NA,NA,,124,0.6933031633
GSI3,Upland,Intermediate,GSI3 SC 1+2+3A rep2,Organic,NA,1.40772317,0.06970912738,NA,NA,NA,NA,50.68,28.29,0.937183384,1.606107741,NA,Surface,NA,NA,NA,NA,,124,0.5835121518
GSI3,Upland,Intermediate,GSI3 SC 1+2+3A rep3,Organic,NA,1.407575758,0.008585858586,NA,NA,NA,NA,50.68,28.29,0.7472137791,1.676921601,NA,Surface,NA,NA,NA,NA,,124,0.4455865908
GSI3,Upland,Intermediate,GSI3 SC 3B,Mineral,NA,0.01457311089,0.008341511286,NA,NA,NA,NA,19.91,2.79,1.245330012,1.516425181,NA,Subsurface,NA,NA,NA,NA,,124,0.8212274685
GSI3,Upland,Intermediate,GSI3 SC 4A,Organic,NA,NA,NA,NA,NA,NA,NA,50.68,28.29,NA,NA,NA,Surface,NA,NA,NA,NA,,124,NA
GSI3,Upland,Intermediate,GSI3 SC 4B,Mineral,NA,NA,NA,NA,NA,NA,NA,20.49,2.6,NA,NA,NA,Subsurface,NA,NA,NA,NA,,124,NA
GSM1,Upland,Mature,GSM1 SC 2A,Organic,NA,0.870240481,0.5157815631,NA,NA,NA,NA,80.28,75.8,24.20886076,12.45906665,NA,Surface,NA,NA,NA,NA,,52.4,1.943071776
GSM1,Upland,Mature,GSM1 SC 2B,Mineral,NA,0.1860809477,0.008390918065,NA,NA,NA,NA,33.95,10.77,7.775255392,2.322149749,NA,Subsurface,NA,NA,NA,NA,,52.4,3.348300597
GSM1,Upland,Mature,GSM1 SC 4A,Organic,NA,1.084637965,0.2668786693,NA,NA,NA,NA,78.36,62.31,8.054272517,1.572483989,NA,Surface,NA,NA,NA,NA,,52.4,5.122006059
GSM1,Upland,Mature,GSM1 SC 4B,Mineral,NA,0.1026785714,0.008432539683,NA,NA,NA,NA,29.66,7.47,1.173124778,0.8723012615,NA,Subsurface,NA,NA,NA,NA,,52.4,1.344861953
TRM1,Upland,Mature,TRM1 SC 3A,Organic,NA,0.2411526795,0.3159757331,NA,NA,NA,NA,70.89,58.83,2.782571182,3.525994369,NA,Surface,NA,NA,NA,NA,,68.42857143,0.7891592812
TRM1,Upland,Mature,TRM1 SC 3B,Mineral,NA,0.1641566265,0.391064257,NA,NA,NA,NA,45.89,19.95,1.798892989,0.7157847874,NA,Subsurface,NA,NA,NA,NA,,68.42857143,2.513175777
TRM1,Upland,Mature,TRM1 SC 2B,Mineral,NA,0.1631736527,0.255988024,NA,NA,NA,NA,45.74,19.72,2.263327206,1.314978665,NA,Subsurface,NA,NA,NA,NA,,68.42857143,1.721189298
TRM1,Upland,Mature,TRM1 SC 2A,Organic,NA,0.8026973027,0.6598401598,NA,NA,NA,NA,80.5,74.33,10.66411239,15.46570304,NA,Surface,NA,NA,NA,NA,,68.42857143,0.6895329853
TRM1,Upland,Mature,TRM1 SC 1A,Organic,NA,0.5104373757,0.3322564612,NA,NA,NA,NA,73.78,55.66,7.357142857,15.07754023,NA,Surface,NA,NA,NA,NA,,68.42857143,0.4879537873
TRM1,Upland,Mature,TRM1 SC 1B,Mineral,NA,0.0728444004,0.1907829534,NA,NA,NA,NA,34.9,12.06,1.314779271,1.680699912,NA,Subsurface,NA,NA,NA,NA,,68.42857143,0.7822807993
GSM2,Upland,Mature,GSM2 SC 4A,Organic,NA,0.2678746327,0.08423114594,NA,NA,NA,NA,60.71,42.78,11,7.412373518,NA,Surface,NA,NA,NA,NA,,57.8,1.484005086
GSM2,Upland,Mature,GSM2 SC 4B,Mineral,NA,0.2923306773,3.766932271,NA,NA,NA,NA,37.22,14.89,1.553225168,3.219790456,NA,Subsurface,NA,NA,NA,NA,,57.8,0.4823994572
GSM2,Upland,Mature,GSM2 SC 3A,Organic,NA,0.4244421907,0.2005578093,NA,NA,NA,NA,69.22,64.35,2.978119935,3.394998693,NA,Surface,NA,NA,NA,NA,,57.8,0.8772079769
GSM2,Upland,Mature,GSM2 SC 2A,Organic,NA,0.3191382766,1.346442886,NA,NA,NA,NA,54.86,33.68,2.505537099,3.313206246,NA,Surface,NA,NA,NA,NA,,57.8,0.7562273256
GSM1,Upland,Mature,GSM1 SC 1A,Organic,NA,1.169021191,0.3181130172,NA,NA,NA,NA,79.79,71.16,21.16336634,226.9411432,NA,Surface,NA,NA,NA,NA,,52.4,0.09325486792
LGI2,Upland,Intermediate,LGI2 SC 1A,Organic,NA,0.9561491935,0.008568548387,NA,NA,NA,NA,45.26,21.09,15.34090909,8.982633303,NA,Surface,NA,NA,NA,NA,,35.85714286,1.707840961
LGI2,Upland,Intermediate,LGI2 SC 1B,Mineral,NA,0.06856856857,0.2047047047,NA,NA,NA,NA,24.67,4.61,4.522862823,3.099270754,NA,Subsurface,NA,NA,NA,NA,,35.85714286,1.459331301
LGI2,Upland,Intermediate,LGI2 SC 3B,Mineral,NA,0.2307312253,0.08596837945,NA,NA,NA,NA,21.23,3.98,2.080012751,2.183177266,NA,Subsurface,NA,NA,NA,NA,,35.85714286,0.9527456994
LGI2,Upland,Intermediate,LGI2 SC 3A,Organic,NA,1.791708292,0.5714285714,NA,NA,NA,NA,52.73,33.71,27.13075701,13.33408567,NA,Surface,NA,NA,NA,NA,,35.85714286,2.034691968
LGI2,Upland,Intermediate,LGI2 SC 4A,Organic,NA,1.036909449,0.3031496063,NA,NA,NA,NA,42.12,20.27,19.51848667,6.608546471,NA,Surface,NA,NA,NA,NA,,35.85714286,2.953521891
LGI2,Upland,Intermediate,LGI2 SC 4B,Mineral,NA,0.5748768473,0.2822660099,NA,NA,NA,NA,21.39,3.82,2.456140351,2.72039254,NA,Subsurface,NA,NA,NA,NA,,35.85714286,0.9028624784
TRM4,Upland,Mature,TRM4 SC 2A,Organic,NA,1.1985,0.0455,NA,NA,NA,NA,85.47,85.58,1.549053356,2.582106183,NA,Surface,NA,NA,NA,NA,,55.8,0.599918534
TRM4,Upland,Mature,TRM4 SC 3A,Organic,NA,1.304804805,0.008508508509,NA,NA,NA,NA,67.88,35.87,6.17211838,4.768863233,NA,Surface,NA,NA,NA,NA,,55.8,1.294253594
TRM4,Upland,Mature,TRM4 SC 4A,Organic,NA,2.77960199,0.008457711443,NA,NA,NA,NA,82.05,79.31,4.311543811,4.915487378,NA,Surface,NA,NA,NA,NA,,55.8,0.8771345503
YRM1,Upland,Mature,YRM1 SC 1A,Organic,NA,2.36693148,0.2159880834,NA,NA,NA,NA,58.52,41.24,3.670634921,6.157914139,NA,Surface,NA,NA,NA,NA,,58.2,0.5960841346
YRM1,Upland,Mature,YRM1 SC 1B,Mineral,NA,0.01464497041,0.03476331361,NA,NA,NA,NA,24.5,4.42,0.156455863,0,NA,Subsurface,NA,NA,NA,NA,,58.2,NA
YRM1,Upland,Mature,YRM1 SC 3A,Organic,NA,5.532553408,0.008646998983,NA,NA,NA,NA,67.78,74.06,5.3650935,4.312257169,NA,Surface,NA,NA,NA,NA,,58.2,1.244149709
YRM1,Upland,Mature,YRM1 SC 3B,Mineral,NA,0.1747230614,0.1800100705,NA,NA,NA,NA,40.72,11.63,2.982233503,52.41379855,NA,Subsurface,NA,NA,NA,NA,,58.2,0.05689787013
YRM1,Upland,Mature,YRM1 SC 4A,Organic,NA,4.109189723,0.3540019763,NA,NA,NA,NA,63.98,53.87,2.298050139,2.826893986,NA,Surface,NA,NA,NA,NA,,58.2,0.8129240612
YRM1,Upland,Mature,YRM1 SC 4B,Mineral,NA,0.01495468278,0.008559919436,NA,NA,NA,NA,29.63,6.27,2.951141227,9.890635558,NA,Subsurface,NA,NA,NA,NA,,58.2,0.2983773095
UP4C,Upland,Mature,UP4C SC 2B,Mineral,NA,0.3685,0.0085,NA,NA,NA,NA,40.21,10.29,5.087572977,8.66126062,NA,Subsurface,NA,NA,NA,NA,,47.4,0.5873940528
UP4C,Upland,Mature,UP4C SC 1B,Mineral,NA,0.2926221336,0.008474576271,NA,NA,NA,NA,45.06,12.83,6.244302644,12.34864839,NA,Subsurface,NA,NA,NA,NA,,47.4,0.5056668915
UP4C,Upland,Mature,UP4C SC 4B,Mineral,NA,0.1994974874,0.2932160804,NA,NA,NA,NA,36.2,7.91,1.09294998,3.344921617,NA,Subsurface,NA,NA,NA,NA,,47.4,0.3267490559
UP4C,Upland,Mature,UP4C SC 3B,Mineral,NA,0.2085,0.2425,NA,NA,NA,NA,36.72,7.68,3.206650831,7.400093061,NA,Subsurface,NA,NA,NA,NA,,47.4,0.433325744
Moose Creek,Upland,Mature,MC SC 1A,Organic,NA,2.962760675,0.1678252234,NA,NA,NA,NA,42.31,27.48,3.200954861,4.527949739,NA,Surface,NA,NA,NA,NA,,NA,0.7069325072
Moose Creek,Upland,Mature,MC SC 1B,Mineral,NA,1.096173212,0.1198388721,NA,NA,NA,NA,25.75,17.42,4.804450438,4.798976071,NA,Subsurface,NA,NA,NA,NA,,NA,1.001140737
Moose Creek,Upland,Mature,MC SC 2+3A,Organic,NA,0.3769920319,0.124501992,NA,NA,NA,NA,49.87,56.25,1.981555334,3.431842356,NA,Surface,NA,NA,NA,NA,,NA,0.5774027849
Moose Creek,Upland,Mature,MC SC 2+3B,Mineral,NA,13.47114428,0.4537313433,NA,NA,NA,NA,29.94,11.88,1.248913988,1.390173571,NA,Subsurface,NA,NA,NA,NA,,NA,0.898387089
BFY13,Upland,Young,BFY13 SC 1A,Organic,0.129737206,2.736336032,0.7844129555,NA,NA,NA,NA,71.48,55.23,40.81588133,60.03440308,NA,Surface,NA,NA,NA,NA,,47.2,0.679874859
BFY13,Upland,Young,BFY13 SC 1B,Mineral,0.776551935,0.01464497041,0.3007889546,NA,NA,NA,NA,23.83,3.97,1.221311475,1.783356134,NA,Subsurface,NA,NA,NA,NA,,47.2,0.6848388004
BFY13,Upland,Young,BFY13 SC 2A,Organic,0.129737206,2.565934066,0.008491508492,NA,NA,NA,NA,67.41,47.71,15.92649311,27.34484596,NA,Surface,NA,NA,NA,NA,,47.2,0.5824312607
BFY13,Upland,Young,BFY13 SC 2B,Mineral,0.776551935,0.01483516484,0.008491508492,NA,NA,NA,NA,23.7,4.04,1.432547479,1.666824693,NA,Subsurface,NA,NA,NA,NA,,47.2,0.8594469981
BFY13,Upland,Young,BFY13 SC 4A,Organic,0.129737206,1.553641732,0.4084645669,NA,NA,NA,NA,69.95,52.05,17.0746888,22.86406839,NA,Surface,NA,NA,NA,NA,,47.2,0.7467913631
BFY13,Upland,Young,BFY13 SC 4B,Mineral,0.776551935,0.03823237339,0.008440913605,NA,NA,NA,NA,29.17,5.77,2.355328158,3.273706421,NA,Subsurface,NA,NA,NA,NA,,47.2,0.7194683504
BFY7,Upland,Young,BFY7 SC 1+2A,Organic,NA,1.116267465,0.08383233533,NA,NA,NA,NA,67.53,32.34,16.94850115,50.27627363,NA,Surface,NA,NA,NA,NA,,80.8,0.3371073457
BFY7,Upland,Young,BFY7 SC 1+2B,Mineral,NA,0.1146464646,0.008585858586,NA,NA,NA,NA,41.7,14.41,5.497213888,10.43230472,NA,Subsurface,NA,NA,NA,NA,,80.8,0.5269414608
BFY7,Upland,Young,BFY7 SC 3A,Organic,NA,1.749746193,0.008629441624,NA,NA,NA,NA,80.45,65.94,7.926829268,12.17365498,NA,Surface,NA,NA,NA,NA,,80.8,0.651146207
BFY7,Upland,Young,BFY7 SC 3B,Mineral,NA,0.01496975806,0.008568548387,NA,NA,NA,NA,33.53,8.76,7.85069575,7.818620607,NA,Subsurface,NA,NA,NA,NA,,80.8,1.004102404