"UniqueID","DATE","SITE","PLOT","TREE","SPECIES","DBH","DA","TOP","LEAN","BOWED","DOWN","NOTES","STATUS","Year","ReplaceID","ID.Seq","Missing.Place","Decimal.Error","species_growth","dbh_change","year_diff","dbh_year_change","is_spike","is_dip","is_anomalous","anomalous_type","high_spike","extreme_dip","is_anomalous2","anomalous_type2","Obs.count"
"BDI1_7_381",2014-09-11,"BDI1","7","381","BETNEO",9.3,1,"-99",0,1,"1","","Alive",2014,"BDI1_7_381_2014",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI1_7_381",2018-06-26,"BDI1","7","381","BETNEO",5.3,1,"-99",0,1,"1","","Alive",2018,"BDI1_7_381_2018",2,"NMis",FALSE,1.8,-4,4,-1,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI2_14_1278",2014-09-14,"BDI2","14","1278","BETNEO",5.9,1,"-99",0,1,"1","","Alive",2014,"BDI2_14_1278_2014",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI2_14_1278",2018-06-27,"BDI2","14","1278","BETNEO",2.8,1,"-99",0,1,"1","","Alive",2018,"BDI2_14_1278_2018",2,"NMis",FALSE,1.8,-3.1,4,-0.775,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI3_2_137",2014-09-16,"BDI3","2","137","PICMAR",4.8,1,"-99",0,1,"1","","Alive",2014,"BDI3_2_137_2014",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI3_2_137",2018-06-27,"BDI3","2","137","PICMAR",2.8,1,"-99",0,1,"1","","Alive",2018,"BDI3_2_137_2018",2,"NMis",FALSE,0.75,-2,4,-0.5,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI3_2_140",2014-09-16,"BDI3","2","140","POPTRE",6.8,1,"-99",0,1,"1","","Alive",2014,"BDI3_2_140_2014",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI3_2_140",2018-06-27,"BDI3","2","140","POPTRE",4,1,"-99",0,1,"1","","Alive",2018,"BDI3_2_140_2018",2,"NMis",FALSE,3.5,-2.8,4,-0.7,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI4_2_186",2014-09-12,"BDI4","2","186","POPTRE",9.1,1,"-99",0,1,"1","","Alive",2014,"BDI4_2_186_2014",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI4_2_186",2018-06-27,"BDI4","2","186","POPTRE",5.2,1,"-99",0,1,"1","","Alive",2018,"BDI4_2_186_2018",2,"NMis",FALSE,3.5,-3.9,4,-0.975,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI7_14_1050",2013-08-09,"BDI7","14","1050","BETNEO",5.1,1,"-99",0,1,"1","","Alive",2013,"BDI7_14_1050_2013",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI7_14_1050",2018-06-28,"BDI7","14","1050","BETNEO",3,1,"-99",0,1,"1","","Alive",2018,"BDI7_14_1050_2018",2,"NMis",FALSE,1.8,-2.1,5,-0.42,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDI8_12_358",2013-08-12,"BDI8","12","358","BETNEO",8.7,1,"-99",0,1,"1","","Alive",2013,"BDI8_12_358_2013",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDI8_12_358",2018-06-28,"BDI8","12","358","BETNEO",7,1,"-99",0,1,"1","","Alive",2018,"BDI8_12_358_2018",2,"NMis",FALSE,1.8,-1.7,5,-0.34,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"BDM1_14_1518",2013-08-10,"BDM1","14","1518","PICMAR",9.6,1,"-99",0,1,"1","","Alive",2013,"BDM1_14_1518_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"BDM1_14_1518",2018-06-28,"BDM1","14","1518","PICMAR",6.9,1,"-99",0,1,"1","","Alive",2018,"BDM1_14_1518_2018",2,"NMis",FALSE,0.75,-2.7,5,-0.54,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"FP3C_13_3774",1990-08-14,"FP3C","13","3774","PICGLA",9.5,1,"-99",0,0,"1","","Alive",1990,"FP3C_13_3774_1990",1,"NMis",FALSE,1.1,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"FP3C_13_3774",1993-07-29,"FP3C","13","3774","PICGLA",4.9,1,"-99",1,0,"1","","Alive",1993,"FP3C_13_3774_1993",2,"NMis",FALSE,1.1,-4.6,3,-1.53333333333333,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"FP3C_13_3774",1997-07-10,"FP3C","13","3774","PICGLA",NA,0,"-99",1,0,"0","","Standing/Dead",1997,"FP3C_13_3774_1997",3,"Last",FALSE,1.1,0,4,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI2_11_380",2013-10-05,"GRI2","11","380","POPTRE",18.8,1,"-99",0,1,"1","","Alive",2013,"GRI2_11_380_2013",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI2_11_380",2018-08-07,"GRI2","11","380","POPTRE",9.5,1,"-99",0,1,"1","","Alive",2018,"GRI2_11_380_2018",2,"NMis",FALSE,3.5,-9.3,5,-1.86,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GRI4_11_815",2013-10-05,"GRI4","11","815","PICMAR",7.6,1,"-99",0,1,"1","Office note: duplicate found in same plot. Check on next field visit.","Alive",2013,"GRI4_11_815_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI4_11_815",2018-08-08,"GRI4","11","815","PICMAR",4,1,"-99",0,1,"1","","Alive",2018,"GRI4_11_815_2018",2,"NMis",FALSE,0.75,-3.6,5,-0.72,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GRI6_11_796",2013-07-26,"GRI6","11","796","PICMAR",5.6,1,"-99",0,1,"1","","Alive",2013,"GRI6_11_796_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI6_11_796",2018-08-08,"GRI6","11","796","PICMAR",2.8,1,"-99",0,1,"1","","Alive",2018,"GRI6_11_796_2018",2,"NMis",FALSE,0.75,-2.8,5,-0.56,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GRI6_12_880",2013-07-26,"GRI6","12","880","POPTRE",18.8,1,"-99",0,1,"1","","Alive",2013,"GRI6_12_880_2013",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI6_12_880",2018-08-08,"GRI6","12","880","POPTRE",14,1,"-99",0,1,"1","","Alive",2018,"GRI6_12_880_2018",2,"NMis",FALSE,3.5,-4.8,5,-0.96,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GRI7_4_105",2013-07-29,"GRI7","4","105","POPTRE",14.1,1,"-99",0,1,"1","Dbh at 1.63","Alive",2013,"GRI7_4_105_2013",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI7_4_105",2018-08-08,"GRI7","4","105","POPTRE",1.7,1,"-99",0,1,"1","","Alive",2018,"GRI7_4_105_2018",2,"NMis",FALSE,3.5,-12.4,5,-2.48,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GRI7_8_190",2013-07-29,"GRI7","8","190","POPTRE",15.4,1,"-99",0,1,"1","","Alive",2013,"GRI7_8_190_2013",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GRI7_8_190",2018-08-08,"GRI7","8","190","POPTRE",13.7,1,"-99",0,1,"1","","Alive",2018,"GRI7_8_190_2018",2,"NMis",FALSE,3.5,-1.7,5,-0.34,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GSM2_1_721",2013-08-25,"GSM2","1","721","PICMAR",10.3,1,"-99",0,1,"1","","Alive",2013,"GSM2_1_721_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GSM2_1_721",2018-07-09,"GSM2","1","721","PICMAR",6.5,1,"-99",0,1,"1","","Alive",2018,"GSM2_1_721_2018",2,"NMis",FALSE,0.75,-3.8,5,-0.76,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GSM2_4_836",2013-08-25,"GSM2","4","836","PICMAR",15.1,1,"-99",1,1,"1","","Alive",2013,"GSM2_4_836_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GSM2_4_836",2018-07-09,"GSM2","4","836","PICMAR",13,1,"-99",0,1,"1","","Alive",2018,"GSM2_4_836_2018",2,"NMis",FALSE,0.75,-2.1,5,-0.42,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"GSM4_6_556",2013-08-21,"GSM4","6","556","PICMAR",7,1,"-99",0,1,"1","Office note: Verify tree number on next field visit.","Alive",2013,"GSM4_6_556_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"GSM4_6_556",2018-07-06,"GSM4","6","556","PICMAR",2.9,1,"-99",0,1,"1","","Alive",2018,"GSM4_6_556_2018",2,"NMis",FALSE,0.75,-4.1,5,-0.82,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"MDI1_1_74",2013-07-15,"MDI1","1","74","PICMAR",5.7,1,"-99",0,1,"1","","Alive",2013,"MDI1_1_74_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"MDI1_1_74",2018-07-30,"MDI1","1","74","PICMAR",3.9,1,"-99",0,1,"1","","Alive",2018,"MDI1_1_74_2018",2,"NMis",FALSE,0.75,-1.8,5,-0.36,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"MDI1_3_329",2013-07-16,"MDI1","3","329","BETNEO",8.7,1,"-99",0,1,"1","","Alive",2013,"MDI1_3_329_2013",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"MDI1_3_329",2018-07-30,"MDI1","3","329","BETNEO",6.2,1,"-99",0,1,"1","","Alive",2018,"MDI1_3_329_2018",2,"NMis",FALSE,1.8,-2.5,5,-0.5,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"MDI3_2_69",2013-07-10,"MDI3","2","69","PICMAR",6.8,1,"-99",0,1,"1","","Alive",2013,"MDI3_2_69_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"MDI3_2_69",2018-07-27,"MDI3","2","69","PICMAR",5.1,1,"-99",0,1,"1","","Alive",2018,"MDI3_2_69_2018",2,"NMis",FALSE,0.75,-1.7,5,-0.34,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"MDI4_4_1878",2013-08-21,"MDI4","4","1878","PICMAR",5.9,1,"-99",0,1,"1","","Alive",2013,"MDI4_4_1878_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"MDI4_4_1878",2018-07-05,"MDI4","4","1878","PICMAR",4,1,"-99",0,1,"1","","Alive",2018,"MDI4_4_1878_2018",2,"NMis",FALSE,0.75,-1.9,5,-0.38,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"MDI4_6_1958",2013-08-21,"MDI4","6","1958","BETNEO",5.4,1,"-99",0,1,"1","","Alive",2013,"MDI4_6_1958_2013",1,"NMis",FALSE,1.8,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"MDI4_6_1958",2018-07-05,"MDI4","6","1958","BETNEO",3.5,1,"-99",0,1,"1","","Alive",2018,"MDI4_6_1958_2018",2,"NMis",FALSE,1.8,-1.9,5,-0.38,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"MDI4_9_800",2013-08-21,"MDI4","9","800","PICMAR",8.4,1,"-99",0,1,"1","","Alive",2013,"MDI4_9_800_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"MDI4_9_800",2018-07-05,"MDI4","9","800","PICMAR",5.6,1,"-99",0,1,"1","","Alive",2018,"MDI4_9_800_2018",2,"NMis",FALSE,0.75,-2.8,5,-0.56,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"WDI6_2_684",2013-06-13,"WDI6","2","684","POPTRE",6.3,0,"-99",0,1,"1","","Alive",2013,"WDI6_2_684_2013",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"WDI6_2_684",2018-06-06,"WDI6","2","684","POPTRE",3.6,1,"-99",0,1,"1","","Alive",2018,"WDI6_2_684_2018",2,"NMis",FALSE,3.5,-2.7,5,-0.54,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"WDI6_4_99",2013-06-13,"WDI6","4","99","POPTRE",12.7,1,"-99",0,1,"1","","Alive",2013,"WDI6_4_99_2013",1,"NMis",FALSE,3.5,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"WDI6_4_99",2018-06-06,"WDI6","4","99","POPTRE",5.4,1,"-99",0,1,"1","","Alive",2018,"WDI6_4_99_2018",2,"NMis",FALSE,3.5,-7.3,5,-1.46,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
"YRM1_14_683",2013-09-08,"YRM1","14","683","PICMAR",6.3,1,"-99",0,1,"1","","Alive",2013,"YRM1_14_683_2013",1,"NMis",FALSE,0.75,0,0,0,FALSE,FALSE,FALSE,"NA",FALSE,FALSE,FALSE,"NA",2
"YRM1_14_683",2018-07-11,"YRM1","14","683","PICMAR",3.6,1,"-99",0,1,"1","","Alive",2018,"YRM1_14_683_2018",2,"NMis",FALSE,0.75,-2.7,5,-0.54,FALSE,TRUE,TRUE,"Dip",FALSE,TRUE,TRUE,"Extreme Dip",2
